ID,Catalog,Item,Description,SmImage,LgImage,Category1,Category2,Category3,Units,RegPrice,SalePrice,OutOfStock,Active,Inventory,Keywords,Category4,Category5,DiscountPr,Wholesale,Featured,DateEdited,ItemCost,TaxPercent,PopUpPg,SmImage2,LgImage2,SmImage3,LgImage3,MetaTitle,WSOnly
12,,Aloe brevifolia (Blue aloe),<p>Aloe brevifolia (Blue aloe)</p>,images/AloeBrevifolia_T.JPG,images/AloeBrevifolia_L.JPG,4,16,0,0.00,0.00,0.00,No,No,,"Aloe Brevifolia, (Blue Aloe)",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"Aloe Brevifolia, Blue Aloe)",No
13,,Aloe camperi,"<p>Aloe camperi (USDA: 9b-10). Best in filtered sun. Heat tolerant. Hardy to 28&deg;F. Little water. Clumping aloe colony grows to 3' tall; 6' diameter. Native to Africa.</p>",images/Aloe_Camperi_T.jpg,images/Aloe_Camperi_L.jpg,4,16,79,0.00,0.00,0.00,No,No,,Aloe Camperi,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Aloe Camperi,No
14,,Aloe crosby prolific,"<p>Aloe crosby prolific. (USDA: 9b-10). Filtered sun. Heat tolerant. Hardy to 30&deg;F. Little water. Grows to 8"" tall; 1' wide. Native to Africa.</p>",images/Aloe_crosby_T.JPG,images/Aloe_crosby_L.jpg,4,16,79,0.00,0.00,0.00,No,No,,"Aloe Crosby Prolific, Aloe crosby hybrid",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"Aloe Crosby Prolific,  Aloe crosby hybrid",No
15,,Aloe cryptopoda (Aloe wickensii),"<p>Aloe cryptopoda (USDA: 9b-11). Light shade to full sun. Heat tolerant. Hardy to 24&deg;F. Little water. Generally solitary stemless rosette. Grows to 3' tall; 2' wide. Native to Africa.</p>",images/Aloe_cryptodia_T.jpg,images/Aloe_cryptodia_L.jpg,4,16,79,0.00,0.00,0.00,No,No,,Aloe cryptopoda (Aloe wickensii),0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Aloe cryptopoda (Aloe wickensii),No
16,,Aloe dichotoma,Aloe dichotoma,,,4,0,0,0.00,0.00,0.00,No,No,,Aloe Dichotoma,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Aloe Dichotoma,No
17,,Aloe ferox ssp. thompsonia,"<p>Aloe ferox ssp. thompsonia (USDA: 9b-11). Light shade. Heat tolerant. Hardy to 24&deg;F. Solitary succulent. Grows slowly to 10' tall; 5' in diameter. Little water. Native to South Africa.</p>",images/Aloethompsonia_T.jpg,images/Aloethompsonia_L.jpg,4,16,0,0.00,0.00,0.00,No,No,,Aloe ferox ssp. thompsonia,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Aloe  ferox ssp. thompsonia,No
18,,Aloe nobilis (Gold tooth aloe),"<p>Aloe nobilis (Gold tooth aloe) Sunset: 8,9,12-24; USDA: 9-11. Light shade. Heat tolerant. Hardy to 24&deg;F. Little water. Clustering rosettes, grows to 1' tall; 1' wide. Origin: Africa.</p>",images/AloeNobelis_T.jpg,images/AloeNobelis_L.JPG,4,16,79,0.00,0.00,0.00,No,No,,Aloe nobilis (Gold tooth aloe),0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Aloe nobilis (Gold tooth aloe),No
19,,Ferocactus acanthodes,"<p>Ferocactus acanthodes. Sunset: 8-24; USDA: 9-10. Full sun. Heat tolerant. Little or no water. Hardy to 20&deg;F. Solitary barrel grows to 6' tall; 16' diameter. Native to Arizona, California, northern Mexico.</p>",images/FerocactusacanthodesT.JPG,images/FerocactusacanthodesL.jpg,7,28,79,0.00,0.00,0.00,No,No,,"Ferocactus Acanthodes, barrel cactus",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Ferocactus Acanthodes barrel cactus,No
20,,Ferocactus covillei,"<p>Ferocactus covillei. Sunset: 8-24; USDA: 9-10. Full sun. Heat tolerant. Little or no water. Hardy to 25&deg;F. Solitary barrel grows to 3 tall; 3' diameter. Native to Mexico.</p>",images/FerocactusCovillei_T.jpg,images/FerocactusCovillei_L.jpg,7,28,79,0.00,0.00,0.00,No,No,,Ferocactus Covillei ,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Ferocactus Covillei ,No
21,,Ferocactus glaucescens,"<p>Ferocactus glaucescens (Blue barrel). USDA: 9b-11. Full sun to light shade. Heat tolerant. Little or no water. Hardy to 28&deg;F. Solitary barrel grows to 2.5' tall; 18"" diameter. Origin: Eastern central Mexico.</p>",images/FerocactusGlaucescensT.jpg,images/FerocactusGlaucescens_L2.jpg,7,28,79,0.00,0.00,0.00,No,No,,Ferocactus Glaucescens (Blue Barrel cactus),539,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Ferocactus Glaucescens (Blue Barrel cactus),No
22,,Ferocactus gracilis,<p>Ferocactus gracilis</p>,images/FerocactusgracilisWC_T.jpg,images/FerocactusgracilisWC_L.JPG,7,28,79,0.00,0.00,0.00,No,No,,Ferocactus Gracilis,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Ferocactus gracilis,No
3389,,Ferocactus schwarzii,<p>Ferocactus schwarzii</p>,,,77,0,0,0.00,0.00,0.00,No,No,,Ferocactus schwarzii,0,0,,0.00,No,2012-05-17T07:00:00.000Z,0.00,0.0000,0,,,,,Ferocactus schwarzii,No
23,,Ferocactus hamatacanthus ssp. sinuatus,"<p>Ferocactus hamatacanthus ssp. sinuatus (aka. Echinocactus hamatacanthus ssp. sinuatus). USDA: 8b-11. Full sun. Heat tolerant. Little or no water. Hardy to 16&deg;F. Grows to 2' cluster. Native Texas, Mexico</p>",images/FerocactushamatacanthusNT.JPG,images/FerocactushamatacanthusL.jpg,7,28,79,0.00,0.00,0.00,No,Yes,,"Ferocactus Hamatacanthus Echinocactus Hamatacanthus barrel cactus, Ferocactus hamatacanthus ssp. sinuatus
",539,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Ferocactus Hamatacanthus ,No
24,,"Euphorbia antisyphilitica (Candelilla, Wax plant)","<p>Euphorbia antisyphilitica (Candelilla, Wax plant). Full sun. Hardy to 25&deg;F. Evergreen shrub to 3' tall, mostly leafless stems. Little water. Native to Chihuahuan desert, west Texas, Mexico.</p>",images/EuphorbiaAntisyphilitica_T.jpg,images/EuphorbiaAntisyphilitica_L.jpg,5,16,79,0.00,0.00,0.00,No,No,,"Euphorbia Antisyphilitica, Candelilla, Wax Plant",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"Euphorbia Antisyphilitica, Candelilla, Wax Plant",No
25,,Euphorbia cactiformis,"<p>Euphorbia cactiformis. Full sun to light shade. Hardy to 25&deg;F. Evergreen shrub to 6' tall; 6' wide. Little water. Native to Africa</p>",images/EuphorbiaCactiformis_T.JPG,images/EuphorbiaCactiformis_L.jpg,5,16,79,0.00,0.00,0.00,No,No,,Euphorbia Cactiformis,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Euphorbia Cactiformis,No
26,,Euphorbia resinifera,"<p>Euphorbia resinifera (Moroccan mound); USDA: 9-11. Full sun to light shade. Hardy to 22&deg;F. Spiny shrub to 4' tall; 6' wide. Moderate water summer. Native to Morocco.</p>",images/EuphorbiaresiniferaT.JPG,images/EuphorbiaresiniferaL.jpg,5,16,79,0.00,0.00,0.00,No,No,,Euphorbia Resinifera Moroccan Mound,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Euphorbia Resinifera Moroccan Mound,No
27,,Euphorbia tirucalli (Pencil bush),"<p>Euphorbia tirucalli (Pencil bush). Sunset: 13, 23, 24, USDA: 10-12 Full sun to light shade. Hardy to 28&deg;F. Succulent bush to 20' tall; Moderate water summer for fast growth. Milky corrosive sap. Origin: Africa.</p>",images/Euphorbia_tirucalli_T.jpg,,5,16,79,0.00,0.00,0.00,No,Yes,,Euphorbia Tirucalli (Pencil Bush),0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Euphorbia Tirucalli (Pencil Bush),No
28,,Euphorbia tirucalli red hybrid (Sticks of fire),"<p>Euphorbia tirucalli red hybrid (Sticks of fire). Sunset: 13, 23, 24, USDA: 10-12 Full sun to light shade. Hardy to 28&deg;F. Succulent bush to 6' tall; Moderate water summer. Milky corrosive sap. Origin: Africa.</p>",images/Euphorbiatirucalli_fire_stick_T.jpg,images/Euphorbiatirucalli_fire_stick_L.jpg,5,16,79,0.00,0.00,0.00,No,No,,Euphorbia Tirucalli Red Hybrid  Sticks of Fire ,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Euphorbia Tirucalli Red Hybrid  Sticks of Fire,No
29,,Echinocactus grusonii (Golden barrel cacti),"<p>Echinocactus grusonii (Golden barrel cacti). Sunset: 11-24; USDA: 9-12. Full sun. Regular water summer. Hardy to 24&deg;F. Grows slowly 3' tall; 4' wide. Yellow flowers.&nbsp; Origin: Mexico</p>",images/goldenbarrel_T.jpg,images/goldenbarrel_L.JPG,79,28,7,0.00,0.00,0.00,No,Yes,,Echinocactus Grusonii Golden Barrel Cacti cactus,10,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Echinocactus Grusonii  Golden Barrel Cacti cactus,No
30,,Echinocereus coccineus (Mexican claret cup),"<p>Echinocereus coccineus (Mexican claret cup) 2,3,7,10-24; USDA: 7-11. Full sun. Heat tolerant. Little or no water. Clumping colony slowly grows to 5' diameter; 16"" tall. Origin: Southwestern USA, Mexico.</p>",images/EchinocereusCoccineus_T.jpg,images/EchinocereusCoccineus_L.JPG,28,8,79,0.00,0.00,0.00,No,Yes,,Echinocereus Coccineus (Mexican Claret Cup),0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Echinocereus coccineus (Mexican Claret Cup),No
31,,Echinocereus dasyacanthus (Texas rainbow hedgehog),<p>Echinocereus dasyacanthus (Texas rainbow hedgehog)</p>,images/EchinocereusdasyacanthusWC_T.jpg,images/EchinocereusdasyacanthusWC_L.jpg,8,28,79,0.00,0.00,0.00,No,No,,Echinocereus Dasyacanthus (Texas Rainbow Hedgehog),0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Echinocereus Dasyacanthus (Texas Rainbow Hedgehog),No
32,,Echinocereus engelmannii,"<p>Echinocereus engelmannii (Sunset: 2,3,7,10-24; USDA: 7-11). Full sun. Heat tolerant. Little or no water. Clumping colony grows to 4' diameter; 1' tall. Origin: Southern California, Arizona, southern Nevada, Mexico. This clone from Southern AZ.</p>",images/EchinocereusEngelmanni_WC_T.JPG,images/EchinocereusEngelmanni_WC_L.jpg,28,8,79,0.00,0.00,0.00,No,No,,Echinocereus Engelmanni ,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Echinocereus Engelmanni (Arizona Species),No
33,,Echinocereus fendleri var. fasciculatus,<p>Echinocereus fendleri var. fasciculatus</p>,images/EchinocereusFendlerivar.Fasciculatus_WC_T.JPG,images/EchinocereusFendlerivar.Fasciculatus_WC_L.jpg,8,28,0,0.00,20.00,0.00,No,No,,Echinocereus Fendleri var. Fasciculatus ,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Echinocereus Fendleri var. Fasciculatus ,No
34,,"Echinocereus nicholii (Nichol's golden hedgehog)","<p>Echinocereus nicholii (Nichol's golden hedgehog). Sunset: 10-24; USDA: 7-11; Full sun. Heat tolerant. Little or no water. Clumping colony grows to 2' tall; 3' diameter. Origin: Arizona, Mexico.</p>",images/EchinocereusNichollii_T.jpg,images/EchinocereusNichollii_L.jpg,8,28,0,0.00,0.00,0.00,No,No,,"Echinocereus Nichollii, Nichol's Golden Hedgehog",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"Echinocereus Nichollii, Nichol's Golden Hedgehog)",No
35,,Echinocereus pentalophus (Lady finger cactus),"<p>Echinocereus pentalophus (Lady finger cactus). Sunset: 12-13; USDA: 9b-10. Full sun to light shade. Heat tolerant. Little water. Clumping colony grows to 1' tall; 3' diameter. Origin: Texas, Mexico.</p>",images/Echinocereuspentalophus_T.jpg,images/Echinocereuspentalophus_L.jpg,8,28,79,0.00,0.00,0.00,No,Yes,,"Echinocereus Pentalophus, Lady Finger Cactus)",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"Echinocereus Pentalophus, Lady Finger Cactus)",No
36,,Echinocereus stramineus,"<p>Echinocereus stramineus (Strawberry hedgehog). Sunset: 9b-13. Full sun. Heat tolerant. Little or no water. Clumping colony grows to 2' tall; 4' diameter. Origin: southwest Texas, New Mexico, Mexico. Plants collected in West Texas. 5"" to 6"" plants are approx. 7-10 years old.</p>",images/EchinocereusstramineusT.jpg,images/EchinocereusstramineusL.jpg,8,28,79,0.00,0.00,0.00,No,No,,"Echinocereus Stramineus, Strawberry Hedgehog",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"Echinocereus Stramineus, Strawberry Hedgehog",No
37,,Trichocereus bridgesii,"<p>Trichocereus bridgesii (Sunset: 16,17,21-24; USDA: 9-11) Full sun to light shade. Heat tolerant. Low water. Clustering columnar cactus, grows to 8' tall. Hardy to 20&deg;F. Origin: Bolivia.</p>
<p><strong><span style=""color: #008000;"">&nbsp;</span></strong></p>",images/Trichocereus_bridgesii5g_T.jpg,images/Trichocereus_bridgesii5g_L.jpg,28,6,79,0.00,0.00,0.00,No,No,3,Trichocereus Bridgesii,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Trichocereus bridgesii,No
38,,Trichocereus candicans (Argentine giant),"<p>Trichocereus candicans (Argentine giant). Sunset: 11-13; USDA: 9-10. Full sun to light shade. Heat tolerant. Low water. Trailing cactus, grows to 4' tall; 10' wide. Hardy to 15&deg;F. Origin: Northern Argentina.</p>",images/Trichocereuscandicans_T.jpg,images/Trichocereuscandicans_L.jpg,6,28,79,0.00,0.00,0.00,No,No,,"Trichocereus Candicans Argentine Giant
Echinopsis ",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Trichocereus Candicans  Argentine Giant Echinopsis,No
39,,Trichocereus thelegonus,"<p>Trichocereus thelegonus&nbsp; (Sunset: 16,17,21-24; USDA: 10-12. Full sun to light shade. Heat tolerant. Low water. Trailing cactus, grows to 3' tall; 6' wide. Hardy to 25&deg;F. Origin: Chile.</p>",images/trichocereuschiloensis_T.jpg,images/trichocereuschiloensis_L.jpg,28,6,79,0.00,0.00,0.00,No,Yes,,"Trichocereus thelegonus
",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Trichocereus thelegonus,No
40,,Trichocereus brevispinulosus (Indian comb),"<p>Trichocereus brevispinulosus (Indian comb). Full sun to light shade. Heat tolerant. Low water. Clustering columnar cactus, grows to 6' tall. Hardy to 20&deg;F.</p>",images/TrichocereusBrevispinulosus_T.jpg,images/TrichocereusBrevispinulosus_L.jpg,28,6,79,0.00,0.00,0.00,No,No,,Trichocereus Brevispinulosus tricocereus Indian Comb,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Trichocereus Brevispinulosus tricocereus Indian Co,No
41,,Trichocereus species Peru,"<p>Trichocereus species Peru. Sunset: 13,16,17,21-24; USDA: 8b-10. Full sun to light shade. Heat tolerant. Low water. Columnar, clustering cactus grows to 15' tall. Hardy to 18&deg;F. Origin: Ecuador and Peru.</p>
<p><strong> <span style=""color: #ff0000;"">Sale</span>: </strong><strong>Sold by the pound.</strong> Odd size lots, ranging from 6"" to 12"" mid-section cuts and tip cuttings, some skinny, some fat. <strong>Sold at $12 per pound</strong>&nbsp;--<strong> 2 lbs minimum</strong></p>",images/sanpedro_T.jpg,images/sanpedro_L.jpg,6,28,79,0.00,0.00,0.00,No,Yes,,Trichocereus ,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,images/TrichocereusPachanoi_T2.jpg,images/TrichocereusPachanoi_L2.jpg,,,Trichocereus,No
42,,Trichocereus peruvianus (Torch cactus),"<p>Trichocereus peruvianus (Torch cactus) Sunset: 16,17,21-24; USDA: 8b-10. Full sun to light shade. Heat tolerant. Low water. Columnar, cactus grows to 16' tall. Hardy to 18&deg;F. Origin: Ecuador and Peru.</p>",images/TrichocereusperuvianusT2.JPG,images/TrichocereusperuvianusL.jpg,6,28,79,0.00,0.00,0.00,No,No,,"Trichocereus Peruvians, peruvian torch torch cactus tricocereus mail order
Echinopsis pachanoi, ",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Trichocereus tricocereus Peruvians peruvianus torc,No
4754,,(A) CactusStore Seed Starting Mix,"<p>CactusStore Seed Starting Mix. Lightweight premium mix excellent for germinating Cactus, Succulent, Flower and Herb seeds and also perfect for starting leaf and stem cuttings. Specially formulated for fast root development. Contains 60% ground sphagnum peat moss and 40% perlite. This mix contains no soil. Free of weeds and disease organisms. Feeds instantly with time release fertilizer to help build strong roots. Provides correct drainage and PH for starting seeds. 100% organic. USA shipping only. This item cannot be sent out of USA.</p>
<p>Contains 3 dry quarts, weights 1 lb.</p>",images/CactusStoreSeedGerminationMixT.JPG,images/CactusStoreSeedGerminationMixL.jpg,581,0,0,0.00,0.00,0.00,No,No,,CactusStore Seed Germinating Mix,0,0,,0.00,No,2016-03-07T07:00:00.000Z,0.00,0.0000,0,,,,,CactusStore Seed Germinating Mix,No
43,,Trichocereus spachianus (Golden torch),"<p>Trichocereus spachianus (Golden torch) Sunset: 11-13; USDA: 9b-11. Full sun to light shade. Heat tolerant. Low water. Columnar, cactus grows to 6' tall. Hardy to 22&deg;F. Origin: Western Argentina, Bolivia.</p>",images/trichocereus-spachianust.JPG,images/trichocereus-spachianusL.jpg,28,6,79,0.00,0.00,0.00,No,Yes,,Trichocereus Spachianus (Golden Torch),0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Trichocereus Spachianus (Golden Torch),No
44,,Yucca aloifolia (Spanish bayonet),"<p>Yucca aloifolia (Spanish bayonet) Sunset: 7-24; USDA: 7-12. Full sun to light shade.. Evergreen rosettes, up to 12' tall, 6' in diameter. Hardy to 0&deg;F. Origin: southern U.S., West Indies and Mexico.</p>",images/Yucca_aloifolia_T.JPG,images/Yucca_aloifolia_L.jpg,9,16,0,0.00,0.00,0.00,No,No,,"Yucca Aloifolia, Spanish Bayonet, Aloe Yucca, Spanish Dagger Yucca aloifolia",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"Yucca Aloifolia , Spanish Bayonet, Aloe Yucca, Spa",No
45,,Yucca baccata (Banana yucca),"<p>Yucca baccata (Banana yucca, Datil yucca) Sunset: all zones; USDA: 5-12. Full sun to light shade.Stemless rosette, up to 4' tall, 4' in diameter. Hardy to -20&deg;F. Origin: Arizona, Colorado, Utah, New Mexico.</p>",images/YuccaBaccataWCT2.JPG,images/YuccaBaccataWCL2.jpg,9,32,0,0.00,0.00,0.00,No,No,,"Yucca Baccata, Banana Yucca, Datil Yucca)",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"Yucca Bacata, Yucca Baccata Banana Yucca, Datil Yu",No
46,,Yucca elata (Soaptree yucca),"<p>Yucca elata (Soaptree yucca). Sunset: 7-24; USDA: 7-12. Full sun to light shade. Tree like succulent, up to 20' tall. Hardy to 0&deg;F. Origin: Arizona to Texas, northern Mexico.</p>",images/YuccaElata_T.jpg,images/YuccaElata_L.JPG,9,0,0,0.00,0.00,0.00,No,No,,"Yucca Elata, Soap Tree Yucca
",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"Yucca Elata, Soap Tree Yucca",No
47,,"Yucca filifera (Tree yucca, St. Peter's palm)","<p>Yucca filifera (Tree yucca, St. Peter's palm). USDA: 8-12. Full sun to light shade. Little to moderate water. Tree like rosette, up to 30' tall. Hardy to 10&deg;F. Origin: Mexico.</p>",images/Yucca_fifleria_T.jpg,images/Yucca_fifleria_L.jpg,9,0,0,0.00,0.00,0.00,No,No,,"Yucca filifera (Tree yucca, St. Peter's palm)",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"Yucca filifera (Tree Yucca, St. Peter's Palm)",No
155,,Seeds Plantus wrightii (Arizona sycamore),<p>Plantus wrightii (Arizona sycamore)</p>,,,26,26,0,0.00,0.00,0.00,No,No,,Seeds: Plantus Wrightii (Arizona Sycamore) ,0,0,,0.00,No,2008-09-28T07:00:00.000Z,0.00,0.0000,0,,,,,Seeds: Plantus Wrightii (Arizona Sycamore) ,No
