ID,Category,Parent,Image,Description,Keywords,Active,HeaderImage,ListImage,CatColumns,CatRows,CatOrder,MetaTitle
21,Wildflower Seeds A to B,93,,"<p align=""center""><span style=""font-size: small;""><strong>Wildflower and Garden Flower Seeds</strong></span><span style=""color: #006633; font-size: medium;""><strong> </strong></span><strong><span style=""font-size: medium;"">A to B</span></strong></p>
<p align=""center""><span style=""color: #006633; font-size: medium;""><span style=""font-size: small;""><strong><span style=""color: #000000;"">&nbsp;</span></strong></span></span></p>",Desert Wildflower seeds A to B,Yes,,images/wildflowerspicacho_Public.jpg,1,,1,Desert Wildflower seed list A to B
27,SHRUB SEEDS (A to Z),103,,"<p align=""center""><strong><span style=""color: #006633; font-size: medium;"">Shrub Seeds </span></strong><br /><span style=""font-size: medium;""><strong>&nbsp;(A to Z)</strong></span></p>","Shrub seeds, native shrubs, desert shrubs",Yes,,images/CalliandraEriophylla_WC_T.JPG,1,,2,"Shrub seeds, native shrubs, desert shrubs"
107,PALM SEEDS,103,,<p>PALM SEEDS</p>,PALM SEEDS,Yes,,images/LivistonachinensisHeaderWC_T.jpg,1,,4,PALM SEEDS
23,Wildflower Seed Mixes,253,,"<p><strong><span style=""font-size: medium;"">Wildflower Seed Mixes. </span><br /><span style=""font-family: helvetica;""><span style=""font-size: small;"">These premixed wildflower blends are designed to provide a variety of blossoms and colors. Both early and late blooming species are included to provide color throughout the growing season. Species are selected for best performance for each region with emphasis on native species, and a balance of annuals and perennials. The mixes can change slightly, but the descriptions are typical.</span></span></strong></p>
<div><span style=""background-color: #003300;""><strong><span style=""font-size: x-small;""><span style=""color: #006633;"">
<div>
<p align=""center""><span style=""color: #006633;""> </span></p>
</div>
</span></span></strong></span></div>",Wildflowers ALL Mixes,Yes,,images/wildflowers_Lake_elsinore.jpg,1,,14,Wildflowers ALL Mixes
26,TREE/SHRUB SEEDS (A to Z),103,,"<p align=""center""><span style=""color: #006633; font-size: medium;""><strong>TREE AND SHRUB SEED </strong></span><br /><span style=""font-size: medium;""><strong>(A to Z)</strong></span></p>",TREE AND SHRUB SEEDS,Yes,,images/CupressusArizonica_WC_T.JPG,1,,1,TREE AND SHRUB SEEDS
110,Aloe Seeds,101,,<p>Aloe Species Seeds</p>,Aloe Seeds,Yes,,,1,16,25,Aloe Seeds
25,SEEDS  Native Grasses ,105,,<p>Native grass seeds</p>,"Native grass seeds, bunch grass seed, Prairie Grass seeds, Native grass seeds",Yes,,images/Andropogon_gerardiiw.jpg,1,,2,Native and ornamental grass seed list
35,SEEDS Cacti A,100,,<p>Cacti seeds A</p>,"Cacti seeds A, Cactus seeds sales list",Yes,,images/AAriocarpustrigonus_T.jpg,1,,1,Cacti seeds A
36,SEEDS  Cacti C,100,,<p>Cactus seeds: C</p>,"Cactus seeds C, Cacti starting with ""C""",Yes,,images/Ccereusperuviansmonstrosa_T.jpg,1,,3,SEEDS  Cacti C
31,Cacti Seed List (A to Z),100,,"<p align=""center""><span style=""color: #006633; font-size: medium;""><strong>CACTI SEEDS A to Z</strong></span></p>",cactus seeds price list,Yes,,images/Carnegiagigantea_Tindex.jpg,1,13,18,cactus seeds price list
28,ALL CACTI,90,,"<p align=""center""><strong><span style=""color: #006633; font-size: medium;"">ALL CACTI</span></strong></p>",ALL CACTI,Yes,,images/Astrophytum_Ornatum_T2.jpg,1,15,2,ALL CACTI
29,Cereus type (Columnar),90,,"<p align=""center""><strong><span style=""color: #006633; font-size: medium;"">Cereus type (Columnar Cacti)</span></strong></p>","Cereus species, columnar cacti",Yes,,images/CereusPeruvianus_WC_T.JPG,1,,9,"Cereus species, columnar cacti"
33,SEEDS  Garden Flowers,93,,"<p>SEEDS Garden Flowers (See more flower seeds under <a href=""../category_21/Wildflower-Seeds.htm"">Wildflower Seeds</a> category)</p>",SEEDS Garden Flowers,No,,images/Callistephuschinensis_WC_T.jpg,1,,11,SEEDS Garden Flowers
34,SEEDS Ornamental Grasses,105,,<p>SEEDS  Ornamental Grasses</p>,SEEDS  Ornamental Grasses,Yes,,images/AristidapurpureaWC_T.jpg,1,,3,SEEDS  Ornamental Grasses
37,SEEDS  Cacti E,100,,"<p>Cacti seeds starting with ""E""</p>","Cacti seeds starting with ""E"", cactus plant seeds, cacti seeds",Yes,,images/Echinocereusstramineus_T24.jpg,1,,5,"Seeds Cacti 'E'"
38,SEEDS  Cacti F,100,,<p>SEEDS Cacti F</p>,SEEDS Cacti F,Yes,,images/FFerocactuscylindraceusWC_T.jpg,1,,6,"SEEDS Cacti 'F'"
39,SEEDS  Cacti G,100,,<p>SEEDS Cacti G</p>,SEEDS  Cacti G,Yes,,images/GLGymnocalyciumbaldianumWC_T.jpg,1,,7,SEEDS  Cacti G
40,SEEDS  Cacti M,100,,<p>SEEDS Cacti M</p>,SEEDS Cacti M,Yes,,images/MNMammillariapettersonii_T.jpg,1,,10,SEEDS Cacti M
41,SEEDS  Cacti N,100,,<p>SEEDS Cacti N</p>,SEEDS Cacti  N,Yes,,images/NNeobuxbaumiapolylopha_T.jpg,1,,11,"SEEDS Cacti 'N'"
42,SEEDS  Cacti O,100,,"<p>SEEDS Cacti ""O""</p>","SEEDS Cacti, long list of cactus seeds ",Yes,,images/OOpuntiabasilaris_T.jpg,1,,12,"SEEDS Cacti ""O"""
43,SEEDS  Cacti P,100,,<p>SEEDS Cacti</p>,SEEDS Cacti  P,Yes,,images/PPeniocereusgreggiiWC_T.jpg,1,,13,"SEEDS Cacti  'P' "
44,SEEDS  Cacti S,100,,<p>SEEDS Cacti S</p>,SEEDS Cacti S,Yes,,images/SStetsoniaCoryne_T.jpg,1,,15,"SEEDS Cacti 'S'"
45,SEEDS  Cacti U to Z,100,,"<p><span style=""font-family: arial black,avant garde;""><span style=""font-size: medium;"">SEEDS Cacti U to Z</span></span></p>",SEEDS Cacti U to Z,Yes,,images/TWeingartia_lanata_WC_T.jpg,1,,17,SEEDS Cacti U to Z
46,South African Succulents,101,,<p>South African Succulents</p>,South African Succulents,No,,images/AloeferoxWC_T.jpg,1,,1,South African Succulents
47,SEEDS Succulents B,101,,<p>SEEDS Succulents B</p>,SEEDS Succulents B,Yes,,images/BijliatugwelliaeWC_IT.jpg,1,,3,SEEDS Succulents B
48,SEEDS Succulents C,101,,"<p>Succulent Seeds ""C""</p>","buy succulent seeds, long list of succulent seeds",Yes,,images/Carruanthuscaninus_IT.jpg,1,,4,"Succulent Seeds ""C"""
49,SEEDS Succulents D,101,,<p>SEEDS Succulents D</p>,SEEDS Succulents D,Yes,,images/Delospermacooperi_WCIT.jpg,1,,5,SEEDS Succulents D
50,SEEDS Succulents E,101,,<p>SEEDS Succulents E</p>,SEEDS Succulents E,Yes,,images/EcheveriaagavoidesWC_T.JPG,1,,6,SEEDS Succulents E
52,SEEDS Succulents G-H,101,,<p>SEEDS Succulents G-H</p>,SEEDS Succulents G-H,Yes,,images/GasteriabicolorWC_IT.jpg,1,,8,SEEDS Succulents G-H
54,SEEDS Succulents L,101,,<p>SEEDS Succulents L</p>,SEEDS Succulents L,Yes,,images/LapidariamargaretaeWC_T_I.jpg,1,,10,SEEDS Succulents L
55,SEEDS Succulents M-0,101,,<p>SEEDS Succulents M-0</p>,SEEDS Succulents M-0,Yes,,images/Malephoracrassa_IT.jpg,1,,11,SEEDS Succulents M-0
56,SEEDS Succulents P,101,,<p>SEEDS Succulents P</p>,SEEDS Succulents P,Yes,,images/PachypodiumdensiflorumWC_IT.jpg,1,,12,SEEDS Succulents P
58,SEEDS Succulents V,101,,<p>SEEDS Succulents V</p>,SEEDS Succulents V,Yes,,images/YuccaWhippleiWC_IT.JPG,1,,16,SEEDS Succulents V
109,Seasonal Cacti Seeds,100,,<p>Seasonal Cacti seeds</p>,,No,,,,,127,
67,SEEDS Cacti H-K,100,,<p>SEEDS Cacti H-K</p>,SEEDS Cacti H-K,Yes,,images/Hamatocactussetispinusvar.hamatusPB_I.jpg,1,,8,SEEDS Cacti H-K
62,SEEDS Cacti L,100,,<p><strong>SEEDS Cacti L</strong></p>,SEEDS Cacti L,Yes,,images/Lophocereusschotti_T3_I.jpg,1,,9,SEEDS Cacti L
63,Cacti Seed Mixes,100,,<p><strong>Cacti Seed Mixes</strong></p>,Cacti Seed Mixes,Yes,,images/Cacti_Mix_I.jpg,1,,19,Cactus Seed Mixes
64,Mesembryanthemum,101,,"<p>SEEDS Mesembryanthemum.<em><strong>&nbsp;</strong></em> Meaning ""midday flowering"" is a genus of succulent plants native to southern Africa.</p>","SEEDS Mesembryanthemum, long list of succulent seeds",Yes,,images/Bijliacana_T_I.jpg,1,8,18,SEEDS Mesembryanthemum
65,SEEDS Succulents I-K,101,,<p>SEEDS Succulents I-K</p>,SEEDS Succulents I-K,Yes,,images/IdriacolumnarisWC_T_I.jpg,1,,9,SEEDS Succulents I-K
106,TREE SEEDS (A to Z),103,,"<p><span style=""font-family: arial black,avant garde;"">TREE SEEDS<strong> </strong></span><strong>(A to Z)</strong></p>",TREE SEEDS,Yes,,images/ProsopisalbaHeaderT.JPG,1,,3,TREE SEEDS
66,SEEDS Succulents T,101,,<p>SEEDS Succulents T</p>,SEEDS Succulents T,Yes,,images/TitanopsiscalcareaPB_I.jpg,1,,15,SEEDS Succulents T
68,SEEDS Cacti Q-R,100,,<p>SEEDS Cacti Q-R</p>,SEEDS Cacti Q-R,Yes,,images/Rebutia_narvaecensisWC_I.jpg,1,,14,SEEDS Cacti Q-R
69,SEEDS Cacti B,100,,<p>SEEDS Cacti B</p>,"cactus seeds B, cactus seeds list",Yes,,images/BolivicereussamaipatanusPB_I.jpg,1,,2,"Cacti Seeds 'B'"
74,Native Wildflower Mixes,93,,"<p><span style=""font-family: arial black,avant garde;""><span style=""font-size: small;"">Native Wildflower Seed Mixes</span></span></p>",SEEDS Wildflower Native Mixes,No,,images/wildflowerspicacho_Public_I.jpg,G,,9,SEEDS Wildflower Native Mixes
342,Aloinopsis Seeds,101,,<p><strong>Aloinopsis Seeds (Mesembryanthemum species)</strong></p>,Aloinopsis species seeds,Yes,,,1,,26,Aloinopsis species seeds
72,All Grass Seed Mixes,105,,"<p><strong>All Grass Seed Mixes,</strong> Grasses for Erosion and dust control, alternative lawns, riparian, forage and others.</p>",All Grass Seed Mixes,Yes,,images/wildflowerspicacho_Public_I.jpg,1,,5,All Grass Seed Mixes
73,Wildflowers Value Mixes,93,,"<p><span style=""font-size: small;""><span style=""font-family: arial black,avant garde;"">SEEDS Wildflowers Value Mixes</span></span></p>",SEEDS Wildflowers Value Mixes,No,,images/Pics_wildflowers_Lake_elsinore.jpg,G,,10,SEEDS Wildflowers Value Mixes
88,SEEDS Riparian & Wetland,105,,<p>Riparian and Wetland Grasses and sedges</p>,Seeds Riparian and Wetland sedges and grasses,Yes,,images/ScirpusmaritimusWCT.JPG,1,,4,"Seeds Riparian and Wetland sedges, grasses"
84,Regional Mixes Inactive,93,,,,No,,,,,33,
75,Edible Herb Seed List,231,,"<p><span style=""background-color: #ffffff;""><strong><span style=""font-size: large;"">Edible Herb Seed List<br /></span></strong></span></p>",Seeds Herbs,Yes,,images/Arugula_T.JPG,1,,1,Seeds Herbs
76,Succulent Seed Mixes,101,,<p>Succulent Seed mixes</p>,Succulent Seed mixes,Yes,,images/Conophytum_wcT.JPG,1,,19,Succulent Seed mixes
77,Large Lot Sale,100,,"<p><strong>Cacti Seed Sale (large lots)<br /></strong></p>
<p><span style=""font-size: medium;""><span style=""font-size: small;""><strong><span style=""color: #ff0000;"">&nbsp;</span></strong></span><strong><span style=""color: #ff0000;""><span style=""font-size: small;""><br /></span></span></strong></span></p>","Cactus Seeds on Sale, wholesale cactus seeds",Yes,,,1,,21,"Cactus Seeds on Sale, wholesale cactus seeds"
78,SEEDS Cacti T,100,,"<p><span style=""font-family: arial black,avant garde;""><span style=""font-size: medium;"">SEEDS Cacti T</span></span></p>",SEEDS Cacti T,Yes,,images/TTrichocereusPachanoi_T2.jpg,1,,16,SEEDS Cacti T
79,ALL CACTI / SUCCULENTS,90,,<p>ALL CACTI / SUCCULENTS</p>,ALL CACTI / SUCCULENTS,Yes,,images/HeaderT2.JPG,1,,1,ALL CACTI / SUCCULENTS
80,SEEDS Succulents F,101,,<p>SEEDS Succulents F</p>,SEEDS Succulents F,Yes,,images/FenestrariaaurantiacaWC_T.jpg,1,,7,SEEDS Succulents F
81,SEEDS Succulents R,101,,<p>SEEDS Succulents R</p>,SEEDS Succulents R,Yes,,images/RhombophyllumdolabriformeWC_T.JPG,1,,13,SEEDS Succulents R
82,SEEDS Succulents S,101,,<p>SEEDS Succulents S</p>,SEEDS Succulents S,Yes,,images/StomatiumalboroseumWC_IT.jpg,1,,14,SEEDS Succulents S
83,SEEDS Cacti D,100,,<p>SEEDS Cacti D</p>,SEEDS Cacti D,Yes,,images/DenmozarhodacanthaPB_T.jpg,1,,4,SEEDS Cacti D
89,ALL Wildflower and Garden Flower Seeds,93,,<p>Wildflower and Garden Flower Seeds</p>,Wildflower and Garden Flower Seeds,No,,,,,20,Wildflower and Garden Flower Seeds
87,REVEGETATION SEEDS,103,,<p>Revegetation Seed Mixes</p>,Revegetation Seed Mixes,No,,images/AchnatherumlettermaniiT2.JPG,1,,5,Revegetation Seed Mixes
